,Risk Off,Risk On,BTC
01/01/2016,100,100,429.68
02/01/2016,100.3736996,101.9540036,434.68
03/01/2016,100.4494745,101.7673915,434.44
04/01/2016,100.1869949,100.0266685,430.14
05/01/2016,100.4276701,101.327969,433.45
06/01/2016,100.3934328,100.9993946,432.67
07/01/2016,100.2780921,100.1877084,430.68
08/01/2016,102.1025638,111.6433349,459.21
09/01/2016,101.7995525,109.5843579,454.13
10/01/2016,101.749265,107.6381933,449.85
11/01/2016,101.8152557,106.9833987,448.58
12/01/2016,102.0076765,107.0017632,449.03
13/01/2016,101.415889,104.2120192,441.77
14/01/2016,100.6325897,100.5932111,432.31
15/01/2016,100.4383451,99.62965769,429.82
16/01/2016,95.86943097,75.33996579,367.82
17/01/2016,97.29962835,83.33442721,388.07
18/01/2016,96.89611783,81.13642036,382.48
19/01/2016,97.03511285,82.1066556,384.87
20/01/2016,96.54637945,79.47519719,378.16
21/01/2016,99.63242452,96.15319164,420.62
22/01/2016,98.84198956,91.67252902,409.30
23/01/2016,96.94249923,80.42181459,381.05
24/01/2016,97.28314834,82.55934609,386.37
25/01/2016,98.44414164,89.3467163,403.45
26/01/2016,97.6028632,84.85342346,391.99
27/01/2016,97.53068396,84.53314313,391.14
28/01/2016,97.76535172,85.92041862,394.63
29/01/2016,96.63881295,79.72686657,378.90
30/01/2016,96.62301137,79.78874778,379.00
31/01/2016,96.45591114,79.14724036,377.26
01/02/2016,95.68552562,74.83428252,366.34
02/02/2016,95.99903554,76.79303532,371.22
03/02/2016,96.09327312,77.49203401,372.93
04/02/2016,95.63158133,75.70581299,368.10
05/02/2016,97.25743605,84.14549931,389.72
06/02/2016,96.83649727,82.08801126,384.40
07/02/2016,96.05582792,78.3225852,374.63
08/02/2016,96.06395742,78.55759411,375.15
09/02/2016,95.713798,76.88785247,370.81
10/02/2016,95.70105014,78.15606533,373.51
11/02/2016,96.08369155,80.3665069,379.08
12/02/2016,95.93466516,79.84366371,377.64
13/02/2016,96.27597077,81.66921556,382.29
14/02/2016,96.82186983,84.52303417,389.60
15/02/2016,98.29623476,90.75310064,406.15
16/02/2016,97.6545673,88.19097114,399.27
17/02/2016,98.34651735,91.11458321,407.04
18/02/2016,99.11209282,94.20712879,415.32
19/02/2016,99.66811421,96.42784261,421.29
20/02/2016,99.4996362,95.82219476,419.63
21/02/2016,101.5073978,103.3886265,440.20
22/02/2016,101.3801695,102.8282995,438.72
23/02/2016,101.2822602,102.37542,437.54
